time/steps,time/epochs,time/steps_per_second,time/dataset,time/preprocess,time/train_step,train/outer_loss,train/pre_adapt_support_accuracy,train/post_adapt_support_accuracy,train/post_adapt_query_accuracy,train/gripper_goal_distance,valid/outer_loss,valid/pre_adapt_support_accuracy,valid/post_adapt_support_accuracy,valid/post_adapt_query_accuracy,valid/gripper_goal_distance,step
0,0,221.3104279044097,0.01936197280883789,0.007480144500732422,0.42500901222229004,2.101266384124756,0.4739583283662796,0.4947916716337204,0.4609375,0.12684414,2.0955662727355957,0.45338541865348814,0.4916666686534882,0.47604166716337204,0.1667725,0
1000,41,3.0550140028079036,0.002386808395385742,0.006648063659667969,0.3237041234970093,1.813546713590622,0.45541666746139525,0.777369790673256,0.7077343750745058,0.15116502,1.7821924328804015,0.450260416418314,0.7914062514901161,0.73359375,0.120932266,1000
2000,83,3.2611604680301576,0.0030939579010009766,0.004301667213439941,0.3056398630142212,1.7609907698631286,0.45596354253590105,0.7865885415673256,0.7112239574640989,0.15559433,1.731903064250946,0.4572916656732559,0.7859375,0.7296875029802322,0.17203504,2000
3000,125,3.2138787077677504,0.00229644775390625,0.0061904191970825195,0.30654263496398926,1.7242459869384765,0.4525000011920929,0.7959895838797092,0.7201041666418314,0.14939529,1.691661524772644,0.45963541641831396,0.8075520843267441,0.7296875,0.1284135,3000
4000,166,3.172735994471337,0.0027309656143188477,0.0052880048751831055,0.31169557571411133,1.7037240076065063,0.45562500089406965,0.799583333581686,0.722057292163372,0.15169126,1.676163899898529,0.44999999925494194,0.8041666597127914,0.7398437559604645,0.18253136,4000
5000,208,2.96420124223822,0.0022019147872924805,0.007706999778747559,0.31837165355682373,1.6894041073322297,0.455260416418314,0.804296875,0.724322916418314,0.1531769,1.6382218599319458,0.45963541641831396,0.820572915673256,0.7401041656732559,0.13330904,5000
6000,250,3.006989740735474,0.0022385120391845703,0.008045554161071777,0.3314293622970581,1.7031668305397034,0.4544270837306976,0.8102083334326744,0.718229167535901,0.15507497,1.5908438920974732,0.44453125,0.8153645828366279,0.7442708313465118,0.16871385,6000
7000,291,2.7645778497010998,0.0024640560150146484,0.006890535354614258,0.40775084495544434,1.7001046979427337,0.4572395833581686,0.8081770834326744,0.7221614592522383,0.14617144,1.6515814304351806,0.46276041865348816,0.8171875014901161,0.73984375,0.1306096,7000
8000,333,2.9668002893814087,0.0028829574584960938,0.004600644111633301,0.36713433265686035,1.6914950370788575,0.45411458410322664,0.8142447917163372,0.7171093763411045,0.14901136,1.6806122303009032,0.45546875074505805,0.8333333328366279,0.7447916612029075,0.11309711,8000
9000,375,3.2899701101915775,0.0022710561752319336,0.005112290382385254,0.29139208793640137,1.680765243768692,0.45554687552154066,0.8107031247019768,0.7266145835816861,0.1523427,1.6813873291015624,0.45937500074505805,0.8312500044703484,0.7364583343267441,0.14866361,9000
10000,416,2.8118656393289627,0.002808094024658203,0.00684356689453125,0.34432852268218994,1.7004607725143432,0.4519531254470348,0.8132812488079071,0.7240885418653488,0.15059629,1.6186158418655396,0.4544270820915699,0.8187500059604644,0.7562500044703484,0.13069782,10000
11000,458,2.7238408208762475,0.002249598503112793,0.007331371307373047,0.3575690984725952,1.7098447751998902,0.45388020865619183,0.8161197923123836,0.7194270835071802,0.16033478,1.6407284379005431,0.4619791656732559,0.8182291686534882,0.7406249985098838,0.16818419,11000
12000,500,2.824534574986136,0.002484440803527832,0.006507992744445801,0.3606613874435425,1.6960244059562684,0.4526822914928198,0.8147916667163372,0.7241145836561919,0.1486124,1.6155773401260376,0.46354166641831396,0.8252604141831398,0.7583333298563957,0.15588732,12000
13000,541,2.8025767725427575,0.0021985769271850586,0.00810098648071289,0.33263492584228516,1.6977412068843842,0.45221354216337206,0.8120312486588955,0.7190624999254942,0.14818637,1.6188464522361756,0.46015625074505806,0.830208332836628,0.745833332836628,0.1349248,13000
14000,583,2.7429028885977624,0.002683877944946289,0.008326053619384766,0.3936924934387207,1.6895244121551514,0.4570572929084301,0.8193489582836628,0.7299739588052034,0.15014307,1.6214336633682251,0.4638020843267441,0.8328125044703484,0.7429687544703484,0.16776878,14000
15000,625,2.8309778321613703,0.003029942512512207,0.009355902671813965,0.34623897075653076,1.6874497759342193,0.452213541790843,0.8114062504470348,0.7252083329111337,0.15750356,1.5917719721794128,0.45442708060145376,0.821875,0.7528645843267441,0.14159891,15000
16000,666,2.790384714536857,0.00315093994140625,0.00687098503112793,0.36044490337371826,1.6563143801689149,0.4561458334326744,0.8143489567935467,0.7351302079111338,0.14749248,1.6248182296752929,0.44270833283662797,0.8328125014901161,0.7265624970197677,0.14121093,16000
17000,708,2.7627392636101153,0.0029169321060180664,0.007110476493835449,0.35278069972991943,1.6732072985172273,0.4545572919398546,0.8139583332836628,0.730859374254942,0.15839177,1.619020164012909,0.45130208507180214,0.8330729186534882,0.7453124955296516,0.15122797,17000
18000,750,2.7167107150179786,0.003011465072631836,0.006909489631652832,0.36865949630737305,1.6674829030036926,0.45406250067055226,0.8155208331346512,0.7229427073150874,0.15508285,1.5856809616088867,0.45260416716337204,0.8281250014901161,0.771614582836628,0.15075131,18000
19000,791,2.735797855029034,0.002258896827697754,0.006873011589050293,0.35865485668182373,1.6950374042987824,0.454973958209157,0.8196093760430813,0.7215364577621222,0.15360548,1.577707874774933,0.4567708343267441,0.8268229201436043,0.7580729126930237,0.13280818,19000
20000,833,2.831892536319816,0.0024263858795166016,0.008141636848449707,0.3743555545806885,1.685596228837967,0.45575520865619185,0.8178645825386047,0.7259374981373549,0.14549227,1.6358721733093262,0.45156250074505805,0.8304687529802323,0.7421875014901161,0.13611636,20000
21000,875,2.752625720430662,0.0027451515197753906,0.007381439208984375,0.3397355079650879,1.6543402361869812,0.45552083410322664,0.8153124982118607,0.7308333338052034,0.15115988,1.6347529768943787,0.4580729156732559,0.8335937485098839,0.7351562514901161,0.12598935,21000
22000,916,2.850799254449723,0.0031745433807373047,0.007494926452636719,0.3612785339355469,1.6861079955101013,0.45658854238688945,0.816067708581686,0.7253124997019768,0.16110495,1.61811306476593,0.4468750014901161,0.8268229186534881,0.75703125,0.1495081,22000
23000,958,2.7437822315440967,0.0026270151138305664,0.007477402687072754,0.34557104110717773,1.6672865104675294,0.4551562495529652,0.8131250011920929,0.7277864577621221,0.14638442,1.6474718928337098,0.4507812477648258,0.8419270843267441,0.7471354141831398,0.12498276,23000
24000,1000,2.823916089692116,0.002292037010192871,0.008160829544067383,0.32958364486694336,1.666280325651169,0.4565104176104069,0.8123697929084301,0.7290885413438082,0.1497973,1.668236458301544,0.4575520813465118,0.8341145843267441,0.732552082836628,0.12687658,24000
25000,1041,2.8546673773914795,0.0025780200958251953,0.007924914360046387,0.34173858165740967,1.6915127277374267,0.45286458417773245,0.8191406257450581,0.725963541790843,0.1684614,1.6606075406074523,0.4572916693985462,0.826041667163372,0.7388020843267441,0.12275753,25000
26000,1083,2.846798416369015,0.0026074647903442383,0.00816035270690918,0.36320722103118896,1.6895085871219635,0.45273437552154067,0.8213802100718022,0.7251562518626451,0.15740366,1.6217975854873656,0.45572916716337203,0.8208333313465118,0.7486979186534881,0.18564841,26000
27000,1125,2.850313183154462,0.002216935157775879,0.008651494979858398,0.345971941947937,1.6938863980770111,0.451614583209157,0.8185937502980232,0.7252083327621222,0.15399246,1.6272895455360412,0.4526041649281979,0.8299479156732559,0.747916667163372,0.15521269,27000
28000,1166,2.839419463802111,0.0030559301376342773,0.007411599159240723,0.34400856494903564,1.6978455114364623,0.4537500005960464,0.8152083344757557,0.7189062504470348,0.15476514,1.6029175162315368,0.44817708507180215,0.8343750014901161,0.744010417163372,0.15156308,28000
29000,1208,2.6850999781232066,0.002177000045776367,0.006747007369995117,0.44098782539367676,1.6941225922107697,0.4542708342522383,0.820703125,0.722552082836628,0.15783696,1.6217068076133727,0.45494791567325593,0.8304687485098838,0.7471354171633721,0.1492986,29000
30000,1250,2.85471699999674,0.002354860305786133,0.006842136383056641,0.3710213899612427,1.6652813947200775,0.4536718760430813,0.8204687498509884,0.7279947917163372,0.14541046,1.6254365205764771,0.45026041865348815,0.8179687529802322,0.7520833298563957,0.13352157,30000
